scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Salix floccosa,´ÔÃ«°«Áø,7,7,8,9,Salix,Salicaceae,WD
Salix gilashanica,¼ªÀ­Áø,7.15,7.15,8,8,Salix,Salicaceae,WD
Salix guebriantiana,Ï¸ĞòÁø,4,5,NA,NA,NA,Salicaceae,WD
Salix gyamdaensis,½­´ïÁø,7,7,8,8,Salix,Salicaceae,WD
Salix gyirongensis,¼ªÂ¡µæÁø,7.25,8.5,8,9,Salix,Salicaceae,WD
Salix heterochroma,²ñÖ¦Áø,4,5,5,6,Salix,Salicaceae,WD
Salix insignis,²ØÎ÷Áø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix kamanica,¿¨ÂíµæÁø,7,7,8,8,Salix,Salicaceae,WD
Salix karelinii,–Õ×ÓÒ¶Áø,6,6,7,7,Salix,Salicaceae,WD
Salix kongbanica,¿µ°ÍÁø,8,8,NA,NA,Salix,Salicaceae,WD
Salix kouytchensis,¹óÖİÁø,7.25,8.31,NA,NA,Salix,Salicaceae,WD
Salix lanifera,°×Ã«Áø,5,5,5,6,Salix,Salicaceae,WD
Salix lasiopes,Ã«±úÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix lindleyana,Çà²ØµæÁø,6.15,6.25,7,9,Salix,Salicaceae,WD
Salix longiflora,³¤»¨Áø,5,5,6,7,Salix,Salicaceae,WD
Salix longistamina,³¤ÈïÁø,4,5,5,6,Salix,Salicaceae,WD
Salix luctuosa,Ë¿Ã«Áø,4,4,4,5,Salix,Salicaceae,WD
Salix maerkangensis,´ØÃ«Áø,4,4,5,5,NA,Salicaceae,WD
Salix maizhokunggarensis,Ä«ÖñÁø,7.5,7.5,7.15,7.25,NA,Salicaceae,WD
Salix medogensis,Ä«ÍÑÁø,7.5,7.5,7.15,7.25,Salix,Salicaceae,WD
Salix muliensis,Ä¾ÀïÁø,5,6,7,7,NA,Salicaceae,WD
Salix myrtillacea,ÆÂÁø,4.15,4.25,5.25,6,Salix,Salicaceae,WD
Salix nipponica,ÈıÈïÁø,4,4,5,5,NA,Salicaceae,WD
Salix nujiangensis,Å­½­Áø,NA,NA,10,10,NA,Salicaceae,WD
Salix obscura,Ã«ÆÂÁø,5.15,5.25,6,6,Salix,Salicaceae,WD
Salix occidentalisinensis,»ªÎ÷Áø,6,6,7,7,NA,Salicaceae,WD
Salix opsimantha,³Ù»¨Áø,7,8,8,9,Salix,Salicaceae,WD
Salix oreinoma,³Ù»¨°«Áø,7,7,8,9,Salix,Salicaceae,WD
Salix oreophila,¼â³İÒ¶µæÁø,7,7,8,8,Salix,Salicaceae,WD
Salix oreophila var. secta,Îå³İÒ¶µæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix oritrepha,É½ÉúÁø,6,6,7,7,Salix,Salicaceae,WD
Salix oritrepha var. amnematchinensis,ÇàÉ½ÉúÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix ovatomicrophylla,ÂÑĞ¡Ò¶µæÁø,6,6,7,8,Salix,Salicaceae,WD
Salix paraflabellaris,¼âÉÈÒ¶µæÁø,6,6,7,9,Salix,Salicaceae,WD
Salix paraheterochroma,²Ø×ÏÖ¦Áø,NA,NA,8,8,NA,Salicaceae,WD
Salix paraplesia,¿µ¶¨Áø,4,5,6,7,Salix,Salicaceae,WD
Salix paraplesia var. subintegra,×óĞı¿µ¶¨Áø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix paratetradenia,ÀàËÄÏÙÁø,4.25,5.5,NA,NA,Salix,Salicaceae,WD
Salix paratetradenia var. yatungensis,ÑÇ¶«Áø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix parvidenticulata,Ğ¡³İÒ¶Áø,5,5,6,6,Salix,Salicaceae,WD
Salix phaidima,ÏËÁø,5,5,6,6,Salix,Salicaceae,WD
Salix pilosomicrophylla,Ã«Ğ¡Ò¶µæÁø,7.25,7.25,NA,NA,NA,Salicaceae,WD
Salix piptotricha,Ã«¹ûµæÁø,NA,NA,NA,NA,NA,Salicaceae,WD
Salix plocotricha,ÇúÃ«Áø,6,6,7,7,Salix,Salicaceae,WD
Salix praticola,²İµØÁø,7,8,8,9.1,Salix,Salicaceae,WD
Salix pseudospissa,´ó°úÁø,6,6,NA,NA,Salix,Salicaceae,WD
Salix pseudowallichiana,ÇàÔíÁø,5,5,6,6,NA,Salicaceae,WD
