scientific name,chinese name,first flowering month,last flowering month,first fruiting month,last fruiting month,genus name,family name,woodiness
Iris delavayi,³¤İãğ°Î²,5,7,8,10,Iris,Iridaceae,CB
Iris dichotoma,Ò°ğ°Î²,7,8,8,9,NA,Iridaceae,CB
Iris ensata,Óñ²õ»¨,6,7,8,9,Iris,Iridaceae,CB
Iris farreri,²İÒ¶ğ°Î²,6,8,7,9,Iris,Iridaceae,CB
Iris forrestii,ÔÆÄÏğ°Î²,5,6,7,8,Iris,Iridaceae,CB
Iris goniocarpa,Èñ¹ûğ°Î²,5,6,6,8,Iris,Iridaceae,CB
Iris henryi,³¤±úğ°Î²,5,5,6,8,Iris,Iridaceae,CB
Iris japonica,ºûµû»¨,3,4,5,6,NA,Iridaceae,CB
Iris kemaonensis,¿âÃÅğ°Î²,NA,NA,NA,NA,NA,Iridaceae,CB
Iris lactea,°×»¨Âíİş,5,6,6,9,Iris,Iridaceae,CB
Iris leptophylla,±¡Ò¶ğ°Î²,4,5,5,7,Iris,Iridaceae,CB
Iris narcissiflora,Ë®ÏÉ»¨ğ°Î²,4,5,6,8,Iris,Iridaceae,CB
Iris polysticta,¶à°ßğ°Î²,6,7,7,9,NA,Iridaceae,CB
Iris potaninii,¾íÇÊğ°Î²,5,6,7,9,Iris,Iridaceae,CB
Iris ruthenica,×Ï°úğ°Î²,5,6,7,8,Iris,Iridaceae,CB
Iris songarica,×¼¸Á¶ûğ°Î²,6,7,8,9,Iris,Iridaceae,CB
Iris speculatrix,Ğ¡»¨ğ°Î²,5,5,7,8,NA,Iridaceae,CB
Iris tectorum,ğ°Î²,4,5,6,8,NA,Iridaceae,CB
Iris tectorum f. alba,°×»¨ğ°Î²,NA,NA,NA,NA,NA,Iridaceae,CB
Iris tigridia,´Ö¸ùğ°Î²,5,5,6,8,Iris,Iridaceae,CB
Iris wattii,ÉÈĞÎğ°Î²,4,4,5,8,Iris,Iridaceae,CB
Iris wilsonii,»Æ»¨ğ°Î²,5,6,7,8,Iris,Iridaceae,CB
